name,year,fuel,transmission,registration_location,color,assembly,body_type,price_pkr,mileage_km,engine_cc,battery_kwh,feature_count,brand,model,vehicle_age
Honda City 2004,2004,Petrol,Manual,Sindh,Silver,Local,Unknown,1650000.0,300000.0,1300.0,,6,Honda,City,21
Suzuki Cultus Limited Edition 2016,2016,Petrol,Manual,Karachi,Graphite Grey,Local,Hatchback,1370000.0,99000.0,1000.0,,8,Suzuki,Cultus,9
Honda City 1.3 i-VTEC 2014,2014,Petrol,Manual,Islamabad,Silver,Local,Sedan,3180000.0,88670.0,1300.0,,11,Honda,City,11
Toyota Aqua 2020,2020,Hybrid,Automatic,Un-Registered,Black,Imported,Unknown,5900000.0,20542.0,1500.0,,14,Toyota,Aqua,5
Audi A6 1.8 TFSI  2015,2015,Petrol,Automatic,Karachi,Black,Imported,Sedan,10500000.0,49022.0,1800.0,,15,Audi,A6,10
Toyota Yaris Sedan ATIV X CVT 1.5 2022,2022,Petrol,Automatic,Karachi,White,Local,Sedan,4750000.0,36000.0,1500.0,,13,Toyota,Yaris,3
Honda City EXi S Automatic 2000,2000,Petrol,Automatic,Sindh,Golden,Local,Sedan,1050000.0,50000.0,1500.0,,8,Honda,City,25
Toyota Hiace TRH 229 2017,2017,Petrol,Automatic,Punjab,White,Imported,High Roof,6200000.0,385000.0,2700.0,,6,Toyota,Hiace,8
Toyota Corolla Altis X Automatic 1.6 2022,2022,Petrol,Automatic,Islamabad,Super White,Local,Sedan,6200000.0,8084.0,1598.0,,19,Toyota,Corolla,3
Toyota Surf SSR-G 3.0D 1996,1996,Diesel,Automatic,Khyber,Silver,Imported,SUV,3685000.0,286000.0,3000.0,,0,Toyota,Surf,29
Suzuki Alto ECO-L 2014,2014,Petrol,Automatic,Sindh,White Pearl,Imported,Hatchback,2175000.0,72000.0,660.0,,9,Suzuki,Alto,11
Nissan Dayz X 2021,2021,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,3450000.0,15000.0,660.0,,11,Nissan,Dayz,4
Honda Civic VTi Oriel 1.8 i-VTEC 2008,2008,Petrol,Manual,Islamabad,Polished Metal Metallic,Local,Sedan,2380000.0,20000.0,1800.0,,13,Honda,Civic,17
Audi A4 1.4 TFSI  2016,2016,Petrol,Automatic,Lahore,Black,Imported,Sedan,9900000.0,89500.0,1400.0,,18,Audi,A4,9
Toyota Fortuner 2.7 V 2021,2021,Petrol,Automatic,Karachi,White,Local,SUV,11800000.0,62000.0,2700.0,,14,Toyota,Fortuner,4
Suzuki Wagon R 2021,2021,Hybrid,Manual,Un-Registered,Turquoise,Imported,Unknown,3300000.0,24407.0,660.0,,11,Suzuki,Wagon,4
Honda City 1.3 i-VTEC Prosmatec 2018,2018,Petrol,Automatic,Lahore,Taffeta White,Local,Sedan,3650000.0,105000.0,1300.0,,11,Honda,City,7
Mercedes Benz E Class E250 2010,2010,Petrol,Automatic,Islamabad,White,Imported,Sedan,9800000.0,135000.0,2500.0,,15,Mercedes Benz,E,15
Honda Civic Oriel 1.8 i-VTEC CVT 2017,2017,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,4800000.0,115000.0,1800.0,,14,Honda,Civic,8
Haval H6 1.5T 2024,2024,Petrol,Automatic,Islamabad,Silver,Local,SUV,9090000.0,11000.0,1500.0,,14,Haval,H6,1
Toyota Premio F EX Package 1.5 2018,2018,Petrol,Automatic,Islamabad,White,Imported,Sedan,9500000.0,68200.0,1500.0,,13,Toyota,Premio,7
Toyota Prado TX 2.7 2016,2016,Petrol,Automatic,Islamabad,Attitude Black Mica,Imported,SUV,18000000.0,100000.0,2700.0,,20,Toyota,Prado,9
Honda City 1.3 i-VTEC 2020,2020,Petrol,Manual,Lahore,Taffeta White,Local,Sedan,3650000.0,67000.0,1300.0,,11,Honda,City,5
Suzuki Alto VXL AGS 2022,2022,Petrol,Automatic,Karachi,Solid White,Local,Hatchback,2825000.0,51267.0,660.0,,10,Suzuki,Alto,3
Daihatsu Cuore 2008,2008,Petrol,Automatic,Lahore,Black,Imported,Unknown,950000.0,134014.0,800.0,,0,Daihatsu,Cuore,17
Suzuki Alto VXR 2006,2006,Petrol,Manual,Karachi,Silver,Local,Hatchback,830000.0000000001,10000.0,1000.0,,7,Suzuki,Alto,19
Honda Vezel Hybrid Z 2015,2015,Hybrid,Automatic,Punjab,Snow White,Imported,Crossover,4850000.0,140000.0,1500.0,,23,Honda,Vezel,10
Suzuki Cultus VXR 2018,2018,Petrol,Manual,Karachi,Graphite Grey,Local,Hatchback,2575000.0,119347.0,1000.0,,12,Suzuki,Cultus,7
Suzuki Cultus VXR 2018,2018,Petrol,Manual,Punjab,Cerulean Blue,Local,Hatchback,2550000.0,128000.0,1000.0,,12,Suzuki,Cultus,7
Prince K07 S 2022,2022,Petrol,Manual,Islamabad,Silver,Local,Van,1900000.0,46300.0,997.0,,7,Prince,K07,3
Honda City 1.5L ASPIRE CVT 2024,2024,Petrol,Automatic,Punjab,Taffeta White,Local,Compact sedan,5850000.0,42000.0,1500.0,,13,Honda,City,1
Toyota Corolla GLi 1.3 VVTi 2012,2012,Petrol,Manual,Lahore,White,Local,Sedan,2850000.0,200000.0,1300.0,,9,Toyota,Corolla,13
Daihatsu Move X SA 2 2022,2022,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,3675000.0,45500.0,658.0,,12,Daihatsu,Move,3
Suzuki Swift DLX 1.3 Navigation  2021,2021,Petrol,Manual,Karachi,Silver,Local,Hatchback,3500000.0,1300.0,1300.0,,14,Suzuki,Swift,4
Honda Accord 1987,1987,Petrol,Automatic,Islamabad,White,Imported,Unknown,600000.0,55000.0,1600.0,,4,Honda,Accord,38
Honda City 1.3 i-VTEC 2014,2014,Petrol,Manual,Lahore,Urban Titanium,Local,Sedan,2825000.0,141000.0,1300.0,,13,Honda,City,11
Toyota Yaris Hatchback X 2022,2022,Petrol,Automatic,Un-Registered,Silver Metallic,Imported,Hatchback,4650000.0,44000.0,1000.0,,13,Toyota,Yaris,3
Suzuki Mehran VX Euro II 2016,2016,Petrol,Manual,Rawalpindi,Graphite Grey,Local,Hatchback,1170000.0,55000.0,796.0,,3,Suzuki,Mehran,9
Toyota Corolla GLi Automatic 1.3 VVTi 2020,2020,Petrol,Automatic,Punjab,Black,Local,Sedan,4750000.0,75000.0,1300.0,,13,Toyota,Corolla,5
Toyota Pixis Joy F X SA III 2020,2020,Petrol,Automatic,Un-Registered,Black Metallic,Imported,Hatchback,3200000.0,26500.0,660.0,,9,Toyota,Pixis,5
Toyota Probox GL 2007,2007,Petrol,Automatic,Islamabad,White,Imported,Station Wagon,2600000.0,300000.0,1500.0,,10,Toyota,Probox,18
Toyota Vitz F M Package 1.0 2011,2011,Petrol,Automatic,Lahore,Pearl White,Imported,Hatchback,2850000.0,155000.0,1000.0,,12,Toyota,Vitz,14
Toyota Yaris Hatchback X 2021,2021,Petrol,Automatic,Un-Registered,Brown,Imported,Hatchback,4325000.0,57000.0,1000.0,,12,Toyota,Yaris,4
KIA Sportage Alpha 2020,2020,Petrol,Automatic,Punjab,White,Local,Crossover,6350000.0,99000.0,2000.0,,13,KIA,Sportage,5
Toyota Corolla GLi 1.3 VVTi 2018,2018,Petrol,Manual,Punjab,Black,Local,Sedan,4050000.0,54122.0,1300.0,,12,Toyota,Corolla,7
Suzuki Khyber GA 1997,1997,LPG,Manual,Karachi,White,Local,Hatchback,325000.0,10000.0,1000.0,,4,Suzuki,Khyber,28
Toyota Vitz FL 1.0 2003,2003,Petrol,Automatic,Lahore,Silver,Imported,Hatchback,2190000.0,12555.0,1000.0,,11,Toyota,Vitz,22
Nissan Dayz X 2022,2022,Petrol,Automatic,Karachi,Beige,Imported,Hatchback,3800000.0,11500.0,660.0,,15,Nissan,Dayz,3
Suzuki Mehran VXR Euro II 2014,2014,Petrol,Manual,Lahore,White,Local,Hatchback,1130000.0,111245.0,800.0,,4,Suzuki,Mehran,11
Toyota Mark X 300G Premium 2004,2004,Petrol,Automatic,Islamabad,Silver,Imported,Sedan,4850000.0,135000.0,3000.0,,13,Toyota,Mark,21
Honda Civic Turbo 1.5 VTEC CVT 2016,2016,Petrol,Automatic,Islamabad,Silver,Local,Sedan,5230000.0,98000.0,1500.0,,16,Honda,Civic,9
Nissan Dayz X 2022,2022,Petrol,Automatic,Un-Registered,Red,Imported,Hatchback,3575000.0,32000.0,660.0,,11,Nissan,Dayz,3
Toyota Prius S My Coorde 1.8 2009,2009,Hybrid,Automatic,Lahore,Black,Imported,Sedan,4250000.0,109767.0,1800.0,,15,Toyota,Prius,16
Honda N Wgn G L Package 2018,2018,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,2845000.0,98000.0,660.0,,12,Honda,N,7
Honda Brio 1986,1986,Petrol,Manual,Karachi,Red,Imported,Unknown,520000.0,320000.0,1000.0,,0,Honda,Brio,39
Toyota Prado TX 2.7 2014,2014,Petrol,Automatic,Sindh,Super White,Imported,SUV,17900000.0,87000.0,2700.0,,13,Toyota,Prado,11
Toyota Fortuner 2.7 VVTi 2020,2020,Petrol,Automatic,Islamabad,White,Local,SUV,14100000.0,47000.0,2700.0,,14,Toyota,Fortuner,5
Toyota Corolla Altis Automatic 1.6 2020,2020,Petrol,Automatic,Islamabad,White,Local,Sedan,5150000.0,129328.0,1600.0,,14,Toyota,Corolla,5
Honda Civic RS 2025,2025,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,10300000.0,2900.0,1500.0,,14,Honda,Civic,0
Honda N Box Custom GL Turbo 2018,2018,Petrol,Automatic,Punjab,Black,Imported,Hatchback,2490000.0,100000.0,658.0,,12,Honda,N,7
Toyota Raize Z 2020,2020,Petrol,Automatic,Un-Registered,Bright Silver Metallic,Imported,Crossover,5750000.0,49000.0,1000.0,,12,Toyota,Raize,5
Daihatsu Cuore CX Eco 2005,2005,Petrol,Manual,Lahore,Silver,Local,Hatchback,1019999.9999999999,72000.0,800.0,,2,Daihatsu,Cuore,20
Nissan Clipper DX 2020,2020,Petrol,Automatic,Un-Registered,White,Imported,Micro Van,2600000.0,56000.0,660.0,,7,Nissan,Clipper,5
Honda Vezel Hybrid Z 2016,2016,Hybrid,Automatic,Punjab,Snow White,Imported,Crossover,5000000.0,140000.0,1500.0,,15,Honda,Vezel,9
MG ZS 1.5L 2021,2021,Petrol,Automatic,Karachi,Black,Imported,Compact SUV,5000000.0,54136.0,1490.0,,13,MG,ZS,4
Hyundai Tucson AWD A/T Ultimate 2024,2024,Petrol,Automatic,Abbottabad,Polar White,Local,SUV,8850000.0,26000.0,2000.0,,15,Hyundai,Tucson,1
Toyota C-HR S-GR Package 2019,2019,Hybrid,Automatic,Islamabad,Pearl White,Imported,SUV,10300000.0,67.0,1800.0,,13,Toyota,C-HR,6
Suzuki Alto VXL AGS 2021,2021,Petrol,Automatic,Islamabad,White,Local,Hatchback,2925000.0,55000.0,660.0,,10,Suzuki,Alto,4
Toyota Fortuner 2.8 Sigma 4 2022,2022,Diesel,Automatic,Islamabad,Super White,Local,SUV,16500000.0,67000.0,2800.0,,14,Toyota,Fortuner,3
Toyota Corolla XLi VVTi 2010,2010,Petrol,Manual,Islamabad,White,Local,Sedan,2475000.0,150000.0,1300.0,,3,Toyota,Corolla,15
Suzuki Potohar Basegrade 2001,2001,Petrol,Manual,Islamabad,White,Local,SUV,1400000.0,200000.0,1000.0,,3,Suzuki,Potohar,24
Honda Civic EXi 1999,1999,Petrol,Manual,Sindh,Black,Local,Sedan,1250000.0,250000.0,1500.0,,9,Honda,Civic,26
Honda City 1.3 i-VTEC 2018,2018,Petrol,Manual,Islamabad,Crystal Black Pearl,Local,Sedan,3375000.0,85000.0,1300.0,,11,Honda,City,7
Toyota Corolla Axio Hybrid 1.5 2017,2017,Hybrid,Automatic,Sindh,White Pearl Crystal Shine,Imported,Sedan,6125000.0,83000.0,1500.0,,21,Toyota,Corolla,8
Honda Civic Oriel 1.8 i-VTEC CVT 2016,2016,Petrol,Automatic,Sindh,Taffeta White,Local,Sedan,4650000.0,81000.0,1800.0,,14,Honda,Civic,9
Honda Civic 1.8 i-VTEC CVT 2020,2020,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,Sedan,5850000.0,80000.0,1800.0,,13,Honda,Civic,5
Suzuki Swift GL Manual 2022,2022,Petrol,Manual,Islamabad,Solid White,Local,Hatchback,3950000.0,55000.0,1200.0,,12,Suzuki,Swift,3
Toyota Passo X 2007,2007,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,1750000.0,97000.0,1000.0,,11,Toyota,Passo,18
Suzuki Alto TURBO RS 2016,2016,Petrol,Automatic,Islamabad,Black,Imported,Hatchback,3250000.0,57000.0,660.0,,12,Suzuki,Alto,9
Honda City 1.5L ASPIRE M/T 2022,2022,Petrol,Manual,Punjab,Crystal Black Pearl,Local,Compact sedan,4700000.0,28050.0,1500.0,,0,Honda,City,3
Suzuki Jimny Turbo 2022,2022,Petrol,Automatic,Punjab,Superior White,Imported,SUV,5100000.0,28000.0,658.0,,14,Suzuki,Jimny,3
Toyota Vitz F 1.0 2006,2006,Petrol,Automatic,Punjab,Silver,Imported,Hatchback,2275000.0,180000.0,1000.0,,12,Toyota,Vitz,19
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2014,2014,Petrol,Automatic,Sindh,Taffeta White,Local,Sedan,3375000.0,88000.0,1800.0,,14,Honda,Civic,11
Suzuki Hustler Hybrid G 2024,2024,Hybrid,Automatic,Un-Registered,White,Imported,Hatchback,4345000.0,4000.0,660.0,,15,Suzuki,Hustler,1
Toyota Corolla XLi VVTi 2017,2017,Petrol,Manual,Karachi,Silver Metallic,Local,Sedan,3149000.0,89000.0,1300.0,,5,Toyota,Corolla,8
Hyundai Elantra Hybrid 2024,2024,Hybrid,Automatic,Islamabad,White,Local,Sedan,9900000.0,750.0,1600.0,,14,Hyundai,Elantra,1
Honda City 1.3 i-VTEC 2014,2014,Petrol,Manual,Lahore,Red,Local,Sedan,3050000.0,60000.0,1300.0,,11,Honda,City,11
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2022,2022,Petrol,Automatic,Sindh,Super white,Local,Sedan,5600000.0,96000.0,1800.0,,21,Toyota,Corolla,3
Suzuki Bolan 2021,2021,Petrol,Manual,Islamabad,White,Local,Unknown,1400000.0,66000.0,660.0,,3,Suzuki,Bolan,4
Toyota Corolla GLi 1.3 VVTi 2016,2016,Petrol,Manual,Rawalpindi,White,Local,Sedan,4500000.0,67000.0,1300.0,,13,Toyota,Corolla,9
Mazda Flair 2020,2020,Hybrid,Automatic,Punjab,Silver,Imported,Unknown,3350000.0,38000.0,660.0,,0,Mazda,Flair,5
Suzuki Mehran VXR Euro II 2019,2019,Petrol,Manual,Lahore,White,Local,Hatchback,1200000.0,21000.0,800.0,,4,Suzuki,Mehran,6
Toyota Corolla Axio X 1.5 2007,2007,Petrol,Automatic,Islamabad,Super White II,Imported,Sedan,3650000.0,171863.0,1500.0,,13,Toyota,Corolla,18
Toyota IST 1.3 F 2006,2006,Petrol,Automatic,Karachi,Black,Local,Hatchback,2275000.0,123000.0,1300.0,,12,Toyota,IST,19
Chery Tiggo 8 Pro 1.6 DEX Plus 2023,2023,Petrol,Automatic,Islamabad,Purple,Local,Crossover,9200000.0,12000.0,1600.0,,15,Chery,Tiggo,2
Toyota Aqua G LED Soft Leather Selection  2020,2020,Hybrid,Automatic,Un-Registered,White,Imported,Hatchback,6450000.0,39500.0,1500.0,,12,Toyota,Aqua,5
Toyota Corolla SE Limited 1994,1994,Petrol,Automatic,Islamabad,White,Imported,Sedan,2500000.0,85000.0,1500.0,,9,Toyota,Corolla,31
Toyota Corolla GL Saloon 1985,1985,Petrol,Manual,Karachi,White,Local,Sedan,1000000.0,118000.0,1500.0,,4,Toyota,Corolla,40
Toyota Prius PHV (Plug In Hybrid) 2020,2020,Hybrid,Automatic,Un-Registered,White,Imported,Sedan,12000000.0,18000.0,1800.0,,16,Toyota,Prius,5
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,2011,Petrol,Automatic,Lahore,Crystal Black,Local,Sedan,3550000.0,120000.0,1800.0,,14,Honda,Civic,14
Toyota Corolla GLi 1.3 VVTi 2020,2020,Petrol,Manual,Lahore,Attitude Black,Local,Sedan,4650000.0,140000.0,1300.0,,12,Toyota,Corolla,5
Suzuki Hustler J Style II 2021,2021,Hybrid,Automatic,Punjab,Denim Blue Metallic,Imported,Hatchback,3450000.0,35000.0,660.0,,13,Suzuki,Hustler,4
Suzuki Alto VXL AGS 2021,2021,Petrol,Automatic,Karachi,White,Local,Hatchback,2680000.0,42000.0,660.0,,10,Suzuki,Alto,4
Toyota Corolla Cross 1.8 HEV X 2024,2024,Hybrid,Automatic,Punjab,Metal Stream,Local,SUV,9145000.0,33060.0,1800.0,,14,Toyota,Corolla,1
Toyota Corolla Altis 1.6 X CVT-i 2025,2025,Petrol,Automatic,Un-Registered,White,Local,Sedan,6825000.0,30.0,1600.0,,12,Toyota,Corolla,0
Suzuki FX GA 1985,1985,Petrol,Manual,Karachi,Bronze,Imported,Hatchback,275000.0,300000.0,800.0,,2,Suzuki,FX,40
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,2011,Petrol,Automatic,Lahore,Crystal Black,Local,Sedan,2650000.0,149825.0,1800.0,,17,Honda,Civic,14
BYD Atto 3 Advance 2025,2025,Electric,Automatic,Un-Registered,Boulder Grey,Local,Crossover,9500000.0,100.0,,49.0,13,BYD,Atto,0
Toyota Land Cruiser ZX 2015,2015,Petrol,Automatic,Islamabad,White Pearl Crystal Shine,Imported,SUV,32000000.0,90000.0,4600.0,,16,Toyota,Land,10
Toyota Raize Z 2020,2020,Petrol,Automatic,Un-Registered,Shining White Pearl,Imported,Crossover,6125000.0,6800.0,1000.0,,12,Toyota,Raize,5
KIA Picanto 1.0 MT 2020,2020,Petrol,Manual,Lahore,Navy,Local,Hatchback,2425000.0,76000.0,1000.0,,10,KIA,Picanto,5
Suzuki Baleno JXR 2004,2004,Petrol,Manual,Islamabad,Silky Silver,Local,Sedan,1320000.0,152000.0,1300.0,,10,Suzuki,Baleno,21
Suzuki Mehran VX 2010,2010,Petrol,Manual,Karachi,Grey,Local,Hatchback,635000.0,111258.0,800.0,,0,Suzuki,Mehran,15
Suzuki Alto VXR 2001,2001,Petrol,Manual,Islamabad,Silver,Imported,Hatchback,830000.0000000001,300000.0,1000.0,,3,Suzuki,Alto,24
Suzuki Wagon R AGS 2022,2022,Petrol,Automatic,Karachi,Solid White,Local,Hatchback,3200000.0,25000.0,1000.0,,13,Suzuki,Wagon,3
Suzuki Wagon R VXL 2017,2017,Petrol,Manual,Faisalabad,Solid White,Local,Hatchback,1900000.0,80000.0,1000.0,,11,Suzuki,Wagon,8
Toyota Corolla 1982,1982,Diesel,Manual,Rawalpindi,Silver,Imported,Unknown,420000.0,250000.0,1300.0,,0,Toyota,Corolla,43
Daihatsu Mira L SA III 2019,2019,Petrol,Automatic,Karachi,White,Imported,Hatchback,3100000.0,65000.0,660.0,,8,Daihatsu,Mira,6
Honda Civic 1.5 VTEC Turbo Oriel 2022,2022,Petrol,Automatic,Lahore,Taffeta White,Local,Sedan,7350000.0,64000.0,1500.0,,21,Honda,Civic,3
Suzuki Alto G 2007,2007,Petrol,Automatic,Lahore,White,Imported,Hatchback,1720000.0,2.0,660.0,,8,Suzuki,Alto,18
Toyota Passo X G Package 2021,2021,Petrol,Automatic,Islamabad,Super White,Imported,Hatchback,4250000.0,73000.0,1000.0,,13,Toyota,Passo,4
Suzuki Mehran 2016,2016,Petrol,Manual,Lahore,Grey,Local,Unknown,1250000.0,88000.0,800.0,,0,Suzuki,Mehran,9
BMW 5 Series 530i 2006,2006,Petrol,Automatic,Sindh,Silver,Imported,Sedan,3750000.0,110000.0,3000.0,,18,BMW,5,19
MG HS PHEV 2025,2025,Hybrid,Automatic,Un-Registered,Black,Local,Crossover,9950000.0,15.0,1500.0,,15,MG,HS,0
Toyota Yaris Sedan ATIV X CVT 1.5 2022,2022,Petrol,Automatic,Karachi,Super White,Local,Sedan,4400000.0,31000.0,1500.0,,19,Toyota,Yaris,3
Honda Civic Oriel 1.8 i-VTEC CVT 2016,2016,Petrol,Automatic,Islamabad,White,Local,Sedan,4675000.0,130000.0,1800.0,,14,Honda,Civic,9
Daihatsu Copen Robe 2017,2017,Petrol,Manual,Islamabad,Green,Imported,Convertible,3200000.0,40000.0,660.0,,11,Daihatsu,Copen,8
Suzuki Mehran VX 2011,2011,Petrol,Manual,Karachi,Gray Metallic,Local,Hatchback,595000.0,80000.0,800.0,,2,Suzuki,Mehran,14
Suzuki Alto VXL AGS Upgraded 2025,2025,Petrol,Automatic,Un-Registered,White,Local,Hatchback,3315000.0,100.0,660.0,,10,Suzuki,Alto,0
Daihatsu Move 2009,2009,Petrol,Automatic,Islamabad,Silver,Imported,Unknown,1850000.0,249000.0,660.0,,9,Daihatsu,Move,16
Suzuki Mehran VXR Euro II 2017,2017,Petrol,Manual,Sindh,Grey,Local,Hatchback,1320000.0,44000.0,800.0,,4,Suzuki,Mehran,8
Suzuki Alto VX 2024,2024,Petrol,Manual,Lahore,White,Local,Hatchback,2650000.0,21000.0,660.0,,5,Suzuki,Alto,1
Suzuki Mehran VX (CNG) 2007,2007,Petrol,Manual,Lahore,White,Local,Hatchback,919999.9999999999,116000.0,800.0,,1,Suzuki,Mehran,18
Suzuki Alto L limited 40th anniversary edition 2021,2021,Petrol,Automatic,Islamabad,White,Imported,Hatchback,3560000.0,52000.0,660.0,,10,Suzuki,Alto,4
Toyota C-HR G-LED 2017,2017,Hybrid,Automatic,Islamabad,White Pearl,Imported,Crossover,7400000.0,80000.0,1800.0,,19,Toyota,C-HR,8
Suzuki Mehran VXR Euro II 2013,2013,Petrol,Manual,Sindh,Solid White,Local,Hatchback,900000.0,23000.0,796.0,,6,Suzuki,Mehran,12
Nissan Sunny 1999,1999,Petrol,Manual,Sindh,Green,Imported,Unknown,1070000.0,170396.0,1500.0,,5,Nissan,Sunny,26
Toyota Corolla DX Saloon 1986,1986,Petrol,Manual,Lahore,White,Local,Sedan,919999.9999999999,100000.0,1300.0,,2,Toyota,Corolla,39
Suzuki Cultus VXRi 2008,2008,Petrol,Manual,Chakwal,Silver,Local,Hatchback,900000.0,20000.0,1000.0,,0,Suzuki,Cultus,17
Honda Civic Oriel 1.8 i-VTEC CVT 2017,2017,Petrol,Automatic,Lahore,Crystal Black,Local,Sedan,4730000.0,90000.0,1800.0,,14,Honda,Civic,8
Suzuki Mehran VXR 2005,2005,Petrol,Manual,Karachi,Snow White Pearl,Local,Hatchback,425000.0,2005.0,800.0,,4,Suzuki,Mehran,20
Toyota Vitz 2022,2022,Petrol,Automatic,Islamabad,Silver,Imported,Unknown,3450000.0,113000.0,1000.0,,12,Toyota,Vitz,3
Toyota Sienta G 2018,2018,Petrol,Automatic,Islamabad,Silver,Imported,Van,5600000.0,131000.0,1500.0,,13,Toyota,Sienta,7
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Karachi,Lunar Silver Metallic,Local,Sedan,5100000.0,59000.0,1800.0,,14,Honda,Civic,7
Honda City 1.5 i-VTEC Prosmatec 2018,2018,Petrol,Automatic,Lahore,White,Local,Sedan,3790000.0,75000.0,1500.0,,14,Honda,City,7
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2010,2010,Petrol,Automatic,Punjab,Black,Local,Sedan,2675000.0,180000.0,1800.0,,14,Honda,Civic,15
Suzuki Alto VXR 2009,2009,Petrol,Manual,Lahore,Solid White,Local,Hatchback,1075000.0,100000.0,1000.0,,5,Suzuki,Alto,16
Honda City 1.3 i-VTEC 2018,2018,Petrol,Manual,Lahore,White,Local,Sedan,3325000.0,148000.0,1300.0,,11,Honda,City,7
Suzuki Alto VXR 2024,2024,Petrol,Manual,Punjab,Grey,Local,Hatchback,2800000.0,9000.0,660.0,,7,Suzuki,Alto,1
Suzuki Cultus VXR 2018,2018,Petrol,Manual,Lahore,White,Local,Hatchback,2200000.0,205688.0,1000.0,,12,Suzuki,Cultus,7
Suzuki Bolan VX Euro II 2016,2016,Petrol,Manual,Lahore,Solid White,Local,Van,1200000.0,29900.0,800.0,,4,Suzuki,Bolan,9
Toyota Prius S 1.5 2009,2009,Hybrid,Automatic,Punjab,Super White,Imported,Sedan,3100000.0,165000.0,1500.0,,14,Toyota,Prius,16
Toyota Corolla GLi 1.3 VVTi 2017,2017,Petrol,Manual,Sindh,Gold,Local,Sedan,3450000.0,79000.0,1300.0,,12,Toyota,Corolla,8
Toyota Aqua S 2015,2015,Hybrid,Automatic,Sindh,Cherry Pearl Crystal,Imported,Hatchback,3750000.0,200000.0,1500.0,,16,Toyota,Aqua,10
Toyota Corolla Touring 2021,2021,Hybrid,Automatic,Un-Registered,Pearl White,Imported,Unknown,9500000.0,33372.0,1800.0,,19,Toyota,Corolla,4
Toyota Hilux Revo GR-S 2024,2024,Diesel,Automatic,Karachi,Attitude Black,Local,Truck,16399999.999999998,40000.0,2800.0,,14,Toyota,Hilux,1
Toyota Vitz F M Package 1.0 2012,2012,Petrol,Automatic,Islamabad,Beige Mica Metallic,Imported,Hatchback,2850000.0,94000.0,1000.0,,12,Toyota,Vitz,13
Changan Karvaan Base Model 1.0 2020,2020,Petrol,Manual,Lahore,Silver,Local,Mini Van,1945000.0,90000.0,1000.0,,6,Changan,Karvaan,5
Toyota Corolla GLi 1.3 2003,2003,Petrol,Automatic,Lahore,Moon Light Silver,Local,Sedan,1900000.0,123456.0,1300.0,,9,Toyota,Corolla,22
Toyota Fortuner 2.7 VVTi 2017,2017,Petrol,Automatic,Islamabad,Black,Local,SUV,11800000.0,80500.0,2700.0,,14,Toyota,Fortuner,8
Daihatsu Cuore CX Eco 2011,2011,Petrol,Manual,Lahore,Silver,Local,Hatchback,1250000.0,203050.0,800.0,,2,Daihatsu,Cuore,14
Honda City 1.2L CVT 2023,2023,Petrol,Automatic,Karachi,White,Local,Compact sedan,4570000.0,34000.0,1200.0,,10,Honda,City,2
Honda City 1.2L M/T 2022,2022,Petrol,Manual,Sindh,White,Local,Compact sedan,4350000.0,29300.0,1200.0,,10,Honda,City,3
Honda Civic EXi Automatic 2000,2000,Petrol,Automatic,Islamabad,Blue,Local,Sedan,1315000.0,206000.0,1500.0,,7,Honda,Civic,25
Toyota Corolla Cross 1.8 HEV X 2024,2024,Hybrid,Automatic,Punjab,Celestite Gray Metallic,Local,SUV,9200000.0,27874.0,1800.0,,22,Toyota,Corolla,1
Honda Civic 1.8 i-VTEC CVT 2021,2021,Petrol,Automatic,Punjab,Crystal Black,Local,Sedan,5950000.0,51000.0,1800.0,,13,Honda,Civic,4
Toyota Surf 1963,1963,Diesel,Manual,Islamabad,Green,Imported,Unknown,2800000.0,300000.0,3000.0,,0,Toyota,Surf,62
Suzuki Swift DLX 1.3 2015,2015,Petrol,Manual,Punjab,Grey,Local,Hatchback,2000000.0,350000.0,1300.0,,11,Suzuki,Swift,10
Suzuki Alto VXR AGS 2023,2023,Petrol,Automatic,Lahore,Solid White,Local,Hatchback,2950000.0,42500.0,660.0,,8,Suzuki,Alto,2
Suzuki Cultus VXR 2004,2004,Petrol,Manual,Faisalabad,Silver,Local,Hatchback,980000.0000000001,78900.0,1000.0,,5,Suzuki,Cultus,21
Toyota Prius EX 1.5 2007,2007,Hybrid,Automatic,Islamabad,Silver,Imported,Sedan,2800000.0,132000.0,1500.0,,14,Toyota,Prius,18
FAW X-PV Dual AC 2018,2018,Petrol,Manual,Chakwal,White,Local,Mini Van,1425000.0,116500.0,1000.0,,2,FAW,X-PV,7
